image_id,xmin,ymin,xmax,ymax,names
new_data262.jpeg,60,349,903,537,chancre fusicocum
new_data262.jpeg,225,563,869,1258,chancre fusicocum
new_data263.jpeg,546,540,871,1171,chancre fusicocum
new_data264.jpeg,363,408,948,665,chancre fusicocum
new_data265.jpeg,238,299,945,1123,chancre fusicocum
new_data265.jpeg,3,17,813,263,chancre fusicocum
new_data266.jpeg,359,614,926,758,chancre fusicocum
new_data266.jpeg,33,1067,856,1223,chancre fusicocum
new_data267.jpeg,432,45,594,1206,chancre fusicocum
new_data268.jpeg,56,218,1158,796,chancre fusicocum
new_data269.jpeg,384,129,652,1235,chancre fusicocum
new_data270.jpeg,29,430,857,845,chancre fusicocum
new_data271.jpeg,176,421,960,869,chancre fusicocum
new_data272.jpeg,137,245,1280,779,chancre fusicocum
new_data273.jpeg,1,435,956,931,chancre fusicocum
new_data274.jpeg,410,295,718,1183,chancre fusicocum
new_data275.jpeg,3,472,960,945,chancre fusicocum
new_data276.jpeg,383,185,610,1007,chancre fusicocum
new_data277.jpeg,49,621,560,1279,chancre fusicocum
new_data277.jpeg,1,344,638,537,chancre fusicocum
new_data277.jpeg,507,88,960,394,chancre fusicocum
new_data277.jpeg,561,467,960,641,chancre fusicocum
new_data278.jpeg,386,163,617,1057,chancre fusicocum
new_data279.jpeg,499,363,746,1264,chancre fusicocum
new_data280.jpeg,442,656,682,975,chancre fusicocum
new_data281.jpeg,456,637,682,941,chancre fusicocum
new_data282.jpeg,392,448,644,1130,chancre fusicocum
new_data283.jpeg,171,398,653,760,chancre fusicocum
new_data283.jpeg,640,217,742,511,chancre fusicocum
new_data284.jpeg,305,526,751,854,chancre fusicocum
new_data285.jpeg,418,299,764,1264,chancre fusicocum
new_data286.jpeg,69,140,933,1248,chancre fusicocum
new_data287.jpeg,237,521,813,1188,chancre fusicocum
new_data287.jpeg,90,285,829,467,chancre fusicocum
new_data288.jpeg,187,502,842,1177,chancre fusicocum
new_data288.jpeg,42,267,783,446,chancre fusicocum
new_data289.jpeg,1,577,655,1280,chancre fusicocum
new_data289.jpeg,1,321,615,584,chancre fusicocum
new_data289.jpeg,469,56,559,254,chancre fusicocum
new_data290.jpeg,292,360,722,1267,chancre fusicocum
new_data291.jpeg,368,272,819,1026,chancre fusicocum
new_data292.jpeg,428,515,724,1280,chancre fusicocum
new_data293.jpeg,406,271,719,1258,chancre fusicocum
new_data294.jpeg,422,290,772,1217,chancre fusicocum
new_data295.jpeg,525,576,960,838,chancre fusicocum
new_data295.jpeg,330,463,465,590,chancre fusicocum
new_data296.jpeg,196,154,518,696,chancre fusicocum
new_data297.jpeg,311,604,903,885,chancre fusicocum
new_data297.jpeg,149,1057,384,1280,chancre fusicocum
new_data298.jpeg,157,540,576,781,chancre fusicocum
new_data299.jpeg,125,458,518,833,chancre fusicocum
new_data300.jpeg,244,271,803,1141,chancre fusicocum
new_data301.jpeg,244,471,878,660,chancre fusicocum
new_data301.jpeg,44,248,563,419,chancre fusicocum
new_data302.jpeg,283,280,494,867,chancre fusicocum
new_data303.jpeg,402,557,688,840,chancre fusicocum
new_data303.jpeg,509,219,863,417,chancre fusicocum
new_data303.jpeg,782,681,879,779,chancre fusicocum
new_data304.jpeg,369,652,526,844,chancre fusicocum
new_data304.jpeg,611,452,715,545,chancre fusicocum
