image_id,xmin,ymin,xmax,ymax,names
new_data168.jpeg,293,610,389,787,coryneum
new_data168.jpeg,509,419,695,553,coryneum
new_data168.jpeg,191,872,255,1065,coryneum
new_data168.jpeg,323,1122,612,1214,coryneum
new_data168.jpeg,62,1115,208,1195,coryneum
new_data168.jpeg,4,899,129,1013,coryneum
new_data168.jpeg,268,545,332,667,coryneum
new_data168.jpeg,550,517,663,768,coryneum
new_data168.jpeg,691,496,827,708,coryneum
new_data168.jpeg,754,472,958,708,coryneum
new_data168.jpeg,687,140,910,376,coryneum
new_data168.jpeg,129,604,300,680,coryneum
new_data168.jpeg,221,407,362,453,coryneum
new_data168.jpeg,212,322,360,367,coryneum
new_data168.jpeg,381,768,525,814,coryneum
new_data169.jpeg,250,814,489,945,coryneum
new_data169.jpeg,175,367,391,563,coryneum
new_data169.jpeg,506,477,773,587,coryneum
new_data169.jpeg,775,283,882,554,coryneum
new_data169.jpeg,332,911,448,1175,coryneum
new_data169.jpeg,270,160,424,371,coryneum
new_data169.jpeg,104,645,367,845,coryneum
new_data169.jpeg,431,483,491,610,coryneum
new_data169.jpeg,528,604,735,679,coryneum
new_data169.jpeg,490,368,773,452,coryneum
new_data169.jpeg,409,231,604,377,coryneum
new_data169.jpeg,500,719,674,969,coryneum
new_data170.jpeg,374,268,602,480,coryneum
new_data170.jpeg,810,18,958,319,coryneum
new_data171.jpeg,408,29,677,534,coryneum
new_data171.jpeg,432,376,623,723,coryneum
new_data172.jpeg,355,285,536,835,coryneum
new_data172.jpeg,67,665,459,958,coryneum
new_data172.jpeg,572,388,752,879,coryneum
new_data173.jpeg,245,2,582,596,coryneum
new_data173.jpeg,628,491,772,723,coryneum
new_data173.jpeg,148,791,660,1014,coryneum
new_data174.jpeg,586,602,818,1018,coryneum
new_data174.jpeg,665,418,960,727,coryneum
new_data174.jpeg,464,464,698,680,coryneum
new_data174.jpeg,33,577,403,1258,coryneum
new_data175.jpeg,374,308,552,861,coryneum
new_data175.jpeg,82,698,486,994,coryneum
new_data175.jpeg,588,402,769,898,coryneum
new_data176.jpeg,1,657,702,1113,coryneum
new_data176.jpeg,211,219,730,508,coryneum
new_data176.jpeg,610,846,898,1280,coryneum
new_data177.jpeg,167,317,582,777,coryneum
new_data177.jpeg,1,746,510,923,coryneum
new_data177.jpeg,802,706,938,913,coryneum
new_data177.jpeg,611,263,779,781,coryneum
new_data178.jpeg,1,665,675,1119,coryneum
new_data178.jpeg,191,234,717,519,coryneum
new_data179.jpeg,315,508,388,714,coryneum
new_data179.jpeg,342,261,402,381,coryneum
