image_id,xmin,ymin,xmax,ymax,names
new_data336.jpeg,257,529,942,798,faux tigre
new_data337.jpeg,68,665,655,919,faux tigre
new_data337.jpeg,348,387,667,607,faux tigre
new_data338.jpeg,68,669,655,923,faux tigre
new_data339.jpeg,58,14,1280,904,faux tigre
new_data340.jpeg,417,1,752,1087,faux tigre
new_data341.jpeg,1,155,1268,941,faux tigre
new_data342.jpeg,260,534,945,800,faux tigre
new_data343.jpeg,390,186,882,401,faux tigre
new_data343.jpeg,236,108,499,494,faux tigre
new_data344.jpeg,302,413,453,792,faux tigre
new_data344.jpeg,609,623,819,1260,faux tigre
new_data345.jpeg,669,193,1033,876,faux tigre
new_data345.jpeg,370,203,705,574,faux tigre
new_data346.jpeg,630,189,1017,677,faux tigre
new_data346.jpeg,442,807,991,960,faux tigre
new_data347.jpeg,406,275,629,1202,faux tigre
new_data348.jpeg,486,253,707,1145,faux tigre
new_data349.jpeg,237,541,922,809,faux tigre
new_data349.jpeg,820,1,986,434,faux tigre
new_data350.jpeg,181,537,873,820,faux tigre
new_data351.jpeg,122,717,671,946,faux tigre
new_data351.jpeg,386,465,703,654,faux tigre
new_data352.jpeg,401,322,709,848,faux tigre
new_data353.jpeg,367,317,642,764,faux tigre
new_data354.jpeg,292,471,532,946,faux tigre
new_data355.jpeg,538,549,655,933,faux tigre
new_data355.jpeg,280,792,507,1088,faux tigre
new_data355.jpeg,271,679,448,942,faux tigre
new_data355.jpeg,646,541,952,838,faux tigre
new_data355.jpeg,126,829,341,999,faux tigre
new_data356.jpeg,195,367,421,831,faux tigre
new_data356.jpeg,367,91,549,569,faux tigre
new_data357.jpeg,91,365,536,914,faux tigre
new_data357.jpeg,457,372,648,764,faux tigre
new_data358.jpeg,615,398,786,802,faux tigre
new_data358.jpeg,318,334,651,952,faux tigre
new_data359.jpeg,388,234,533,765,faux tigre
new_data359.jpeg,184,690,478,992,faux tigre
new_data360.jpeg,429,475,709,935,faux tigre
new_data360.jpeg,230,763,567,990,faux tigre
new_data361.jpeg,748,279,890,581,faux tigre
new_data361.jpeg,424,267,605,623,faux tigre
new_data362.jpeg,125,715,674,941,faux tigre
new_data362.jpeg,391,467,696,656,faux tigre
new_data362.jpeg,726,829,910,1277,faux tigre
new_data363.jpeg,382,217,526,753,faux tigre
new_data363.jpeg,174,672,484,980,faux tigre
new_data364.jpeg,479,421,624,956,faux tigre
new_data365.jpeg,361,333,763,1149,faux tigre
new_data365.jpeg,1,649,413,1233,faux tigre
new_data366.jpeg,483,394,626,972,faux tigre
new_data367.jpeg,311,435,469,788,faux tigre
new_data368.jpeg,359,418,522,779,faux tigre
